year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1992,657,35,31,30,16,18,14,13,14,8,19,10,10,19,14,23,32,43,40,49,63,72,48,67,57,73,64,84,90,69,88,74,92,90,99,126,117,105,121,145,152,168,193,236,238,306,306,331,353,377,358,324,426,412,422,451,529,521,574,613,731,809,913,979,1064,1209,1367,1415,1585,1788,2022,2208,2420,2336,2527,2554,2745,3168,3314,3511,3557,3764,3868,3787,3826,3530,3365,3197,2989,2625,2469,2045,1678,1345,1107,871,627,450,294,210,312
1993,571,37,30,30,21,13,17,25,19,10,10,18,15,15,19,24,28,36,56,55,45,68,63,71,61,62,69,81,78,76,76,88,77,97,111,113,132,121,138,132,157,162,211,180,228,282,299,344,354,357,383,386,347,418,465,484,477,547,559,635,686,719,865,940,987,1145,1248,1456,1586,1661,1857,2097,2499,2609,2360,2581,2874,3132,3336,3472,3748,3836,3872,4050,3927,3827,3642,3465,3138,2882,2590,2188,1918,1509,1196,914,691,482,329,248,362
1994,499,39,20,16,27,16,12,17,4,8,14,14,8,14,16,16,26,18,52,51,39,44,61,63,61,57,76,75,85,89,86,91,72,93,89,100,115,139,172,147,158,192,185,195,221,287,281,326,363,375,426,421,403,387,454,506,518,534,564,557,671,672,808,917,999,1099,1124,1238,1442,1577,1761,1895,2216,2473,2641,2420,2646,2856,3030,3205,3532,3597,3599,3701,3845,3580,3554,3288,2999,2780,2358,2161,1769,1436,1093,865,662,465,325,212,339
1995,429,30,23,11,21,17,8,14,10,12,8,9,12,17,16,19,24,34,48,48,66,55,48,51,60,55,49,60,75,79,101,92,78,88,88,89,89,119,118,134,145,179,196,198,205,240,253,321,362,395,410,459,489,443,409,471,525,497,535,610,637,739,796,871,987,1029,1208,1272,1390,1571,1692,1848,1991,2323,2834,2809,2599,2935,3115,3279,3415,3552,3853,3835,3872,3850,3763,3398,3222,2868,2613,2233,1980,1566,1247,970,624,500,329,233,361
1996,377,38,15,17,21,19,17,9,6,12,14,10,6,15,13,23,31,28,26,33,49,44,47,61,46,55,59,65,73,75,62,84,94,89,98,91,95,100,130,124,131,123,170,186,207,237,248,320,300,364,442,461,469,488,482,458,509,549,542,586,641,676,747,856,951,1030,1114,1323,1324,1489,1616,1886,1984,2231,2552,2880,3009,2746,2888,3178,3376,3592,3656,3830,3865,3849,3805,3709,3298,3041,2688,2433,2004,1638,1307,1039,741,566,362,234,436
1997,328,44,15,20,15,14,21,11,13,16,11,9,15,12,12,26,23,24,30,33,45,59,57,66,58,66,47,54,48,61,72,77,74,83,101,122,102,94,111,122,123,154,168,160,207,204,218,292,266,349,381,446,477,538,518,508,440,553,574,622,683,698,725,817,867,1051,1131,1127,1288,1400,1555,1812,1937,2206,2373,2689,3038,3140,2774,3086,3370,3491,3554,3778,3825,3842,3624,3546,3466,3092,2761,2465,2035,1803,1320,1050,838,599,379,287,395
1998,316,29,19,15,13,15,11,10,20,17,14,12,20,12,20,37,39,44,48,35,45,47,54,51,50,57,45,59,51,52,59,64,70,104,88,102,92,102,122,122,136,132,160,177,174,198,239,271,270,293,377,392,443,502,564,560,518,527,595,608,619,705,797,804,891,979,1072,1182,1258,1393,1483,1659,1871,2047,2295,2441,2924,3142,3350,2982,3227,3451,3514,3728,3852,3861,3836,3639,3469,3188,2902,2446,2192,1808,1405,1098,797,573,391,248,434
1999,297,21,16,8,9,9,19,16,17,12,18,13,11,15,22,19,16,31,33,46,50,50,42,49,51,64,50,54,64,66,60,72,72,74,97,86,107,81,115,125,134,151,180,182,193,209,224,236,289,338,364,374,441,514,538,603,602,548,550,621,674,673,741,827,864,902,1013,1113,1283,1347,1463,1690,1818,1966,2190,2514,2593,2986,3340,3551,3226,3481,3672,3689,3713,3913,3928,3775,3625,3439,2984,2722,2324,1914,1495,1143,869,664,440,306,488
2000,309,20,10,6,10,7,17,11,3,19,12,14,17,18,16,22,23,28,50,57,58,51,57,49,49,56,74,43,71,53,55,50,77,66,85,98,101,95,113,106,103,125,118,180,198,202,209,254,278,319,330,408,431,470,559,559,658,630,655,593,686,734,800,756,884,911,983,1029,1153,1342,1430,1570,1752,1885,2107,2281,2594,2777,3030,3531,3655,3279,3520,3619,3756,3835,3882,3771,3589,3256,3075,2713,2350,1926,1533,1239,958,665,477,310,463
2001,334,25,19,14,10,10,6,14,14,6,15,14,6,16,19,23,18,29,33,52,56,65,51,53,44,52,49,65,49,52,53,71,58,84,84,79,112,94,102,133,116,130,143,153,176,188,229,267,300,281,360,351,420,500,513,541,665,694,717,670,638,782,704,820,826,917,992,1027,1199,1275,1397,1587,1671,1778,2026,2199,2413,2723,2907,3327,3743,3832,3238,3632,3652,3800,3807,3750,3650,3497,3044,2922,2523,2059,1618,1272,946,692,502,353,515
2002,313,24,25,10,10,9,7,7,3,10,15,12,13,8,19,22,28,23,35,65,57,46,65,61,45,55,53,58,42,50,74,68,65,67,67,74,95,102,97,109,131,110,151,153,163,192,192,242,241,276,312,358,374,431,498,596,590,692,765,768,746,730,716,836,848,900,994,1049,1124,1303,1418,1526,1671,1852,1923,2190,2274,2658,2968,3147,3546,3810,4089,3468,3756,3798,3861,3883,3758,3540,3357,2885,2505,2206,1782,1418,1078,734,515,346,558
2003,308,30,19,14,10,10,11,6,7,11,7,8,13,18,18,26,40,28,39,52,48,47,51,52,49,57,40,49,66,55,55,49,57,69,77,81,77,99,121,116,116,130,138,162,174,178,221,242,246,283,310,326,345,421,507,543,610,689,673,753,756,811,760,826,884,966,998,1044,1153,1186,1342,1570,1602,1740,1898,2043,2284,2512,2720,3040,3211,3779,3950,4147,3500,3647,3835,3620,3623,3439,3187,2822,2471,2128,1692,1378,1088,761,527,347,617
2004,314,21,12,7,8,8,13,5,11,6,8,11,9,18,18,26,26,27,52,49,66,60,56,51,53,54,48,47,57,59,50,57,62,53,72,78,77,97,98,107,131,105,125,130,179,177,190,216,260,287,341,321,338,390,462,504,603,678,725,768,853,814,818,787,909,941,1001,1036,1089,1218,1264,1423,1563,1700,1822,1924,2127,2399,2496,2864,3016,3326,3627,3956,4102,3499,3689,3586,3500,3392,3094,2835,2447,2073,1775,1388,1029,780,542,359,588
2005,246,42,14,19,8,12,15,7,8,7,8,6,8,24,16,29,20,29,31,44,48,57,50,47,45,55,54,45,55,62,65,64,64,45,62,80,73,79,97,123,111,133,140,155,146,171,197,191,233,279,291,310,363,437,431,522,602,656,656,803,859,887,903,925,844,1018,1116,1051,1139,1196,1273,1283,1480,1646,1849,1935,2142,2307,2519,2803,3068,3311,3450,3915,4165,4123,3601,3674,3546,3337,3197,2886,2608,2227,1838,1391,1074,858,562,377,637
2006,297,30,14,15,11,10,6,7,9,11,11,11,6,14,11,30,37,39,32,52,51,61,46,66,44,51,43,40,42,60,53,48,63,81,58,66,87,87,96,110,111,141,145,137,159,156,185,199,227,246,278,314,352,426,429,449,563,611,638,761,842,909,956,953,965,1012,1050,1036,1094,1155,1315,1333,1408,1536,1782,1864,2069,2244,2480,2662,2869,3245,3339,3574,4118,4226,4193,3461,3628,3427,3043,2983,2616,2224,1891,1453,1197,853,625,428,686
2007,268,33,15,9,11,11,9,6,9,6,7,4,8,11,15,27,36,36,41,64,56,57,48,41,59,63,62,47,49,54,52,53,49,68,63,71,86,81,82,106,123,119,146,148,166,189,190,204,210,261,307,326,361,359,382,410,491,560,666,731,766,869,972,1032,1084,1120,998,1135,1133,1203,1246,1308,1427,1508,1563,1858,2018,2217,2440,2592,2961,3029,3435,3552,3729,4041,4389,4236,3552,3428,3189,2955,2607,2369,2015,1596,1215,916,662,430,712
2008,272,24,17,7,10,9,3,1,9,6,11,7,13,12,16,15,30,39,45,55,53,56,49,60,55,53,51,64,63,65,61,65,66,60,67,73,75,73,85,88,108,124,140,172,175,175,174,175,205,258,283,335,322,394,390,441,463,562,623,655,795,845,959,1025,1175,1110,1122,1047,1225,1260,1264,1314,1431,1433,1650,1768,1885,2200,2309,2485,2728,3097,3250,3496,3704,3889,4144,4357,4119,3419,3313,3023,2675,2316,1904,1630,1211,910,662,479,764
2009,278,36,24,21,5,8,9,13,10,7,9,7,7,8,26,21,25,42,30,55,49,56,45,58,60,49,46,58,45,67,56,47,57,58,63,85,82,74,111,85,107,94,134,165,185,185,195,200,203,233,270,300,344,391,413,410,470,516,605,653,715,809,971,981,1136,1197,1140,1136,1068,1268,1294,1352,1424,1587,1647,1689,1865,2069,2316,2401,2756,2830,3040,3352,3578,3803,3774,4164,4217,3917,3095,2888,2677,2291,1968,1611,1198,934,694,485,778
2010,294,28,14,12,12,4,7,10,7,4,4,5,13,11,11,16,28,34,47,45,48,67,49,57,63,63,47,54,61,62,46,61,69,59,58,59,70,62,73,97,105,103,125,145,122,154,187,194,228,235,265,266,326,342,373,388,467,492,550,632,730,802,901,988,1216,1233,1236,1258,1183,1251,1348,1370,1457,1532,1662,1757,1803,2065,2357,2499,2644,2859,3040,3306,3444,3656,3778,3911,4098,4045,3775,2987,2677,2356,1979,1560,1262,947,691,449,845
2011,235,30,5,13,12,6,6,11,11,13,10,9,6,8,10,16,19,38,45,53,49,59,55,58,60,59,57,55,55,61,52,72,51,60,72,66,79,69,84,92,87,92,110,125,174,167,195,214,206,239,273,273,258,353,369,451,464,451,555,600,668,732,798,933,1082,1188,1266,1295,1325,1353,1289,1428,1517,1548,1615,1721,1896,1937,2120,2432,2588,2729,3026,3244,3404,3612,3813,3837,3792,3927,3845,3501,2695,2365,1993,1623,1238,1015,760,489,822
2012,293,18,15,12,14,7,4,8,13,3,10,9,8,13,11,17,26,32,30,33,41,62,68,47,63,54,69,55,56,53,47,59,57,64,62,74,56,75,105,105,95,107,113,109,145,168,204,222,214,241,250,269,277,362,389,426,447,472,492,558,639,716,798,894,1000,1149,1325,1306,1428,1453,1415,1328,1490,1682,1743,1814,1927,2016,2182,2286,2600,2889,2984,3239,3423,3630,3726,3926,4043,3831,3848,3626,3247,2416,2138,1722,1343,1058,757,540,953
2013,306,14,11,16,11,8,10,9,5,3,7,5,7,13,9,8,19,20,36,50,46,57,58,61,69,61,71,72,65,68,64,74,60,57,54,66,78,88,82,86,100,114,108,112,132,173,197,198,210,234,256,275,295,361,368,392,415,453,499,596,606,703,763,908,998,1125,1270,1342,1515,1484,1529,1515,1410,1668,1761,1821,1982,2012,2065,2237,2564,2697,2927,3109,3368,3379,3534,3692,3669,3879,3515,3622,3250,2845,1953,1711,1325,1018,740,591,908
2014,251,25,5,14,7,11,11,8,6,5,3,7,8,11,8,16,18,25,28,43,56,48,61,69,67,66,62,61,53,71,71,59,76,78,90,59,70,70,65,76,95,118,120,126,136,152,153,219,234,251,286,281,291,321,329,361,401,488,509,561,598,724,719,843,913,1062,1203,1361,1446,1567,1626,1656,1556,1527,1778,1832,1961,2045,2123,2142,2350,2544,2848,3087,3228,3403,3484,3608,3496,3710,3484,3194,3128,2853,2392,1647,1288,1060,724,513,983
2015,282,21,19,7,12,3,13,9,6,7,14,6,8,13,16,10,21,18,29,45,55,56,55,62,79,79,77,72,69,71,63,57,67,84,68,74,73,78,68,74,100,97,117,118,120,125,147,185,201,252,264,267,302,323,338,390,423,473,514,558,630,654,718,819,897,1035,1193,1281,1390,1580,1625,1892,1765,1710,1757,1971,1923,2089,2224,2273,2524,2588,2779,3079,3216,3485,3515,3540,3622,3712,3459,3406,3139,2868,2496,2089,1329,1071,796,541,973
2016,292,23,13,10,14,14,16,7,7,5,5,5,9,15,11,11,16,14,34,29,38,43,49,59,59,84,70,67,59,66,75,71,78,73,68,83,76,61,80,97,98,106,123,126,125,140,171,161,217,257,264,284,280,303,339,388,422,402,470,544,622,689,772,788,873,958,1156,1265,1369,1486,1651,1853,1950,2023,1800,1791,2084,2129,2287,2380,2550,2599,2725,2893,3183,3452,3491,3569,3405,3564,3566,3489,3006,2736,2463,2152,1734,1093,741,538,981
2017,278,16,13,10,10,9,10,5,10,4,6,9,10,7,19,11,13,24,41,40,46,38,61,57,66,90,61,91,79,79,73,71,71,82,61,61,100,83,71,86,112,104,112,117,133,142,161,150,212,241,232,286,335,286,356,323,423,445,449,499,593,628,683,826,916,901,1070,1131,1312,1512,1679,1733,1950,2028,2042,1942,1980,2228,2444,2388,2444,2725,2847,2925,3183,3299,3558,3579,3706,3722,3627,3334,3087,2782,2387,2174,1717,1298,858,618,1026
2018,235,29,18,11,12,9,5,8,8,1,10,9,9,10,25,14,13,36,34,43,39,64,50,66,70,56,62,88,91,69,77,60,75,79,82,81,70,80,79,83,99,98,106,119,131,126,165,172,169,209,243,248,322,347,338,355,387,422,467,523,599,656,729,772,840,962,1037,1148,1292,1505,1637,1817,1983,2045,2220,2248,2198,2162,2336,2526,2551,2806,2893,2964,3102,3209,3483,3625,3584,3583,3612,3226,3073,2727,2438,1885,1700,1396,978,566,1066
2019,237,23,6,14,14,12,6,4,7,4,8,8,7,7,10,17,20,20,37,41,58,52,41,44,74,79,68,60,81,61,67,76,87,44,75,80,74,88,78,87,101,90,108,116,127,142,150,153,167,180,200,238,275,331,343,392,397,433,415,493,552,620,721,746,773,876,1027,989,1228,1306,1492,1595,1915,2036,2220,2333,2313,2273,2203,2473,2622,2634,2860,2946,2954,3069,3318,3396,3476,3319,3346,3072,2979,2655,2290,1942,1551,1264,1019,650,986
2020,268,22,12,6,12,8,7,9,5,3,10,13,12,10,11,17,27,26,32,46,57,45,37,51,56,67,65,60,81,59,78,75,68,70,76,65,78,74,81,80,100,85,108,111,112,143,157,169,152,203,225,237,282,318,360,393,442,420,508,541,560,632,675,751,892,944,1007,1155,1212,1342,1555,1711,1947,2135,2365,2565,2708,2731,2697,2721,2916,3120,3321,3291,3460,3524,3510,3661,3897,3874,3708,3541,3185,3002,2640,2094,1789,1270,1065,759,1247
