year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1990,124004,116782,113612,106755,104812,101565,97334,95376,96284,97285,99998,98818,95683,98715,101179,106635,113054,112425,114730,116452,113116,112111,118889,127275,129594,130634,131389,122132,117072,114298,112707,114588,114939,116827,117889,116613,114752,118370,118003,117561,122865,128001,132932,134408,136684,135749,133968,125823,115202,102249,97081,98320,94149,89941,87702,84098,82279,80882,84024,84074,85470,83369,85877,83771,85259,87321,87556,88102,87679,92560,96040,77221,75203,74364,71286,68249,67757,64778,61705,56797,53245,49760,44078,39091,34309,29191,25283,20932,17929,14184,11441,8418,6440,4785,3567,2428,1604,1138,695,450,610
1991,123353,124659,117257,114129,107300,105265,102122,97874,95871,96800,97682,100491,99250,96070,99002,101565,106985,113458,112854,115338,116895,113739,112855,119745,128117,130493,131455,132107,122922,117741,114879,113292,115030,115339,117218,118215,116979,114938,118559,118019,117577,122840,127882,132774,134225,136464,135485,133669,125506,114921,101972,96804,98003,93830,89587,87329,83628,81809,80317,83359,83447,84791,82545,84962,82784,84170,86076,86129,86621,85957,90566,93750,75294,73018,71928,68738,65488,64670,61440,58282,53247,49642,45846,40274,35327,30776,25754,22166,17984,15097,11775,9179,6616,4994,3635,2596,1738,1128,760,464,622
1992,122582,124040,124819,117645,114498,107659,105663,102453,98299,96258,97210,98006,100837,99578,96427,99308,101888,107446,114029,113386,115948,117497,114300,113586,120557,128802,131138,132110,132561,123503,118155,115261,113710,115269,115669,117406,118334,117075,114965,118534,117983,117466,122742,127674,132538,133916,136104,135160,133337,125138,114524,101680,96483,97561,93431,89162,86829,83148,81314,79739,82754,82740,84039,81626,83977,81784,82921,84742,84646,84953,84117,88539,91388,73085,70611,69398,66116,62603,61410,57983,54786,49552,45892,41993,36499,31631,27250,22579,19023,15230,12494,9536,7276,5127,3765,2655,1833,1175,773,513,659
1993,117373,122968,124505,125432,118335,115171,108352,106322,103154,99016,96919,97837,98579,101456,100099,96914,99843,102455,108148,114786,114211,116833,118438,115364,114620,121527,129717,132002,132923,133364,124281,118847,115899,114391,115861,116149,117807,118783,117427,115225,118738,118152,117446,122785,127677,132407,133773,135888,134835,133010,124796,114197,101337,96176,97201,93068,88786,86439,82699,80782,79258,82170,82048,83213,80778,82976,80646,81704,83240,83061,83254,82210,86304,88731,70811,68130,66663,63147,59463,57988,54464,50886,45746,41979,37908,32653,27948,23655,19324,15990,12564,10070,7422,5590,3788,2727,1874,1224,804,478,695
1994,111984,117570,123547,125819,126791,119742,116538,109692,107621,104384,100134,98046,98879,99520,102398,100990,97748,100718,103434,109339,115822,115182,117989,119582,116534,115941,122797,130877,133027,134056,134498,125247,119912,116821,115302,116822,116989,118523,119374,117946,115734,119081,118490,117614,123007,127778,132378,133751,135747,134652,132724,124555,113908,101122,96054,96901,92809,88468,86128,82389,80436,78854,81642,81389,82520,79866,82068,79608,80551,81869,81458,81526,80260,83985,86111,68485,65574,63958,60282,56382,54659,50948,47255,42138,38150,34212,29075,24584,20485,16517,13352,10352,8042,5854,4303,2820,1977,1302,837,554,716
1995,103072,112307,117520,123572,125848,126900,119925,116689,109876,107794,104595,100320,98211,99044,99689,102592,101188,97996,101043,103931,109742,116178,115621,118498,120132,116991,116387,123228,131110,133161,134130,134562,125294,119965,116794,115241,116713,116780,118439,119215,117769,115611,118881,118270,117398,122793,127488,132099,133389,135384,134233,132308,124133,113474,100729,95715,96455,92395,88031,85627,81914,79917,78258,80986,80614,81662,78905,80946,78434,79244,80312,79748,79671,78189,81470,83193,66018,62767,60959,57075,53069,51215,47260,43422,38368,34154,30387,25575,21266,17401,13821,10939,8261,6232,4467,3208,2029,1409,898,560,798
1996,94983,103371,112324,117397,123415,125824,126899,119987,116766,109937,107908,104740,100455,98287,99132,99797,102720,101337,98261,101358,104252,110041,116477,115991,118888,120519,117293,116683,123378,131172,133113,134101,134504,125303,119912,116677,115056,116606,116580,118248,119046,117620,115414,118677,118039,117155,122489,127186,131742,133054,134896,133754,131828,123567,112922,100239,95245,95909,91908,87528,85048,81361,79201,77527,80156,79632,80633,77765,79631,77113,77751,78583,77835,77571,75854,78796,80142,63331,59940,57932,53790,49655,47501,43596,39588,34488,30378,26590,22043,18091,14495,11321,8684,6488,4756,3275,2289,1411,956,599,793
1997,90180,95292,103346,112328,117386,123424,125895,127066,120151,116968,110168,108129,104952,100670,98497,99418,100006,102950,101661,98590,101627,104501,110221,116730,116383,119247,120789,117501,116970,123485,131266,133175,134118,134543,125235,119954,116672,114963,116456,116440,118104,118872,117402,115222,118435,117836,116915,122136,126830,131360,132665,134407,133226,131228,122985,112397,99688,94747,95322,91300,86841,84309,80651,78393,76627,79143,78510,79468,76527,78237,75591,76101,76592,75799,75241,73306,75949,76893,60536,56993,54696,50324,46184,43770,39762,35696,30852,26744,23068,18755,15142,11873,9071,6761,4973,3515,2333,1558,936,598,877
1998,89234,90715,95520,103455,112432,117503,123580,126092,127282,120412,117210,110457,108429,105201,100940,98800,99707,100330,103397,101781,98869,101877,104774,110599,117198,116832,119684,121110,117888,117369,123796,131460,133429,134216,134670,125265,119949,116567,114980,116485,116292,118065,118780,117293,115137,118254,117606,116713,121820,126526,130989,132248,133944,132766,130699,122393,111852,99126,94202,94735,90665,86168,83581,79852,77466,75669,78096,77342,78179,75181,76719,74015,74277,74575,73602,72873,70596,72877,73478,57544,53804,51315,46823,42631,39992,35813,31858,27123,23129,19648,15690,12490,9552,7040,5145,3743,2559,1671,1059,640,908
1999,88367,89890,91008,95773,103678,112627,117695,123777,126366,127545,120657,117454,110691,108696,105477,101220,99075,100090,100684,103623,102193,99242,102375,105360,111201,117816,117423,120121,121586,118213,117669,124087,131642,133692,134292,134758,125367,120009,116535,114949,116379,116192,117963,118680,117149,114963,118060,117424,116446,121530,126177,130623,131833,133485,132313,130098,121803,111254,98568,93645,94070,89995,85443,82849,79006,76534,74682,76992,76164,76840,73736,75105,72258,72409,72466,71159,70307,67816,69750,69855,54298,50374,47756,43081,38994,36100,31909,27933,23497,19582,16331,12858,9931,7441,5319,3862,2713,1781,1125,681,916
