Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),40,19,17,76
2,Soviet Union (URS),22,30,19,71
3,Hungary (HUN),16,10,16,42
4,Sweden (SWE),12,13,10,35
5,Italy (ITA),8,9,4,21
6,Czechoslovakia (TCH),7,3,3,13
7,France (FRA),6,6,6,18
8,Finland (FIN),6,3,13,22
9,Australia (AUS),6,2,3,11
10,Norway (NOR),3,2,0,5
11,Switzerland (SUI),2,6,6,14
12,South Africa (RSA),2,4,4,10
13,Jamaica (JAM),2,3,0,5
14,Belgium (BEL),2,2,0,4
15,Denmark (DEN),2,1,3,6
16,Turkey (TUR),2,0,1,3
17,Japan (JPN),1,6,2,9
18,Great Britain (GBR),1,2,8,11
19,Argentina (ARG),1,2,2,5
20,Poland (POL),1,2,1,4
21,Canada (CAN),1,2,0,3
21,Yugoslavia (YUG),1,2,0,3
23,Romania (ROU),1,1,2,4
24,Brazil (BRA),1,0,2,3
24,New Zealand (NZL),1,0,2,3
26,India (IND),1,0,1,2
27,Luxembourg (LUX),1,0,0,1
28,Germany (GER),0,7,17,24
29,Netherlands (NED),0,5,0,5
30,Iran (IRI),0,3,4,7
31,Chile (CHI),0,2,0,2
32,Austria (AUT),0,1,1,2
32,Lebanon (LIB),0,1,1,2
34,Ireland (IRL),0,1,0,1
34,Mexico (MEX),0,1,0,1
34,Spain (ESP),0,1,0,1
37,South Korea (KOR),0,0,2,2
37,Trinidad and Tobago (TRI),0,0,2,2
37,Uruguay (URU),0,0,2,2
40,Bulgaria (BUL),0,0,1,1
40,Egypt (EGY),0,0,1,1
40,Portugal (POR),0,0,1,1
40,Venezuela (VEN),0,0,1,1
