Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),45,27,27,99
2,Finland (FIN),14,13,10,37
3,France (FRA),13,15,10,38
4,Great Britain (GBR),9,13,12,34
5,Italy (ITA),8,3,5,16
6,Switzerland (SUI),7,8,10,25
7,Norway (NOR),5,2,3,10
8,Sweden (SWE),4,13,12,29
9,Netherlands (NED),4,1,5,10
10,Belgium (BEL),3,7,3,13
11,Australia (AUS),3,1,2,6
12,Denmark (DEN),2,5,2,9
13,Hungary (HUN),2,3,4,9
14,Yugoslavia (YUG),2,0,0,2
15,Czechoslovakia (TCH),1,4,5,10
16,Argentina (ARG),1,3,2,6
17,Estonia (EST),1,1,4,6
18,South Africa (RSA),1,1,1,3
19,Uruguay (URU),1,0,0,1
20,Austria (AUT),0,3,1,4
20,Canada (CAN),0,3,1,4
22,Poland (POL),0,1,1,2
23,Haiti (HAI),0,0,1,1
23,Japan (JPN),0,0,1,1
23,New Zealand (NZL),0,0,1,1
23,Portugal (POR),0,0,1,1
23,Romania (ROU),0,0,1,1
