Rank,Team,Gold,Silver,Bronze,Total
1,Germany (GER),33,26,30,89
2,United States (USA),24,20,12,56
3,Hungary (HUN),10,1,5,16
4,Italy (ITA),8,9,5,22
5,Finland (FIN),7,6,6,19
5,France (FRA),7,6,6,19
7,Sweden (SWE),6,5,9,20
8,Japan (JPN),6,4,8,18
9,Netherlands (NED),6,4,7,17
10,Great Britain (GBR),4,7,3,14
11,Austria (AUT),4,6,3,13
12,Czechoslovakia (TCH),3,5,0,8
13,Argentina (ARG),2,2,3,7
13,Estonia (EST),2,2,3,7
15,Egypt (EGY),2,1,2,5
16,Switzerland (SUI),1,9,5,15
17,Canada (CAN),1,3,5,9
18,Norway (NOR),1,3,2,6
19,Turkey (TUR),1,0,1,2
20,India (IND),1,0,0,1
20,New Zealand (NZL),1,0,0,1
22,Poland (POL),0,3,3,6
23,Denmark (DEN),0,2,3,5
24,Latvia (LAT),0,1,1,2
25,Romania (ROU),0,1,0,1
25,South Africa (RSA),0,1,0,1
25,Yugoslavia (YUG),0,1,0,1
28,Mexico (MEX),0,0,3,3
29,Belgium (BEL),0,0,2,2
30,Australia (AUS),0,0,1,1
30,Philippines (PHI),0,0,1,1
30,Portugal (POR),0,0,1,1
