Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),41,27,27,95
2,Sweden (SWE),19,20,25,64
3,Belgium (BEL),16,12,14,42
4,Finland (FIN),15,10,9,34
5,Great Britain (GBR),14,16,13,43
6,Norway (NOR),13,9,9,31
7,Italy (ITA),13,5,5,23
8,France (FRA),9,19,13,41
9,Netherlands (NED),4,2,5,11
10,Denmark (DEN),3,9,1,13
11,South Africa (RSA),3,4,3,10
12,Canada (CAN),3,3,3,9
13,Switzerland (SUI),2,2,7,11
14,Estonia (EST),1,2,0,3
15,Brazil (BRA),1,1,1,3
16,Australia (AUS),0,2,1,3
17,Japan (JPN),0,2,0,2
17,Spain (ESP),0,2,0,2
19,Greece (GRE),0,1,0,1
19,Luxembourg (LUX),0,1,0,1
21,Czechoslovakia (TCH),0,0,2,2
22,New Zealand (NZL),0,0,1,1
