Rank,Team,Gold,Silver,Bronze,Total
1,Soviet Union (URS),37,29,32,98
2,United States (USA),32,25,17,74
3,Australia (AUS),13,8,14,35
4,Hungary (HUN),9,10,7,26
5,Italy (ITA),8,8,9,25
6,Sweden (SWE),8,5,6,19
7,United Team of Germany (EUA),6,13,7,26
8,Great Britain (GBR),6,7,11,24
9,Romania (ROU),5,3,5,13
10,Japan (JPN),4,10,5,19
11,France (FRA),4,4,6,14
12,Turkey (TUR),3,2,2,7
13,Finland (FIN),3,1,11,15
14,Iran (IRI),2,2,1,5
15,Canada (CAN),2,1,3,6
16,New Zealand (NZL),2,0,0,2
17,Poland (POL),1,4,4,9
18,Czechoslovakia (TCH),1,4,1,6
19,Bulgaria (BUL),1,3,1,5
20,Denmark (DEN),1,2,1,4
21,Ireland (IRL),1,1,3,5
22,Norway (NOR),1,0,2,3
23,Mexico (MEX),1,0,1,2
24,Brazil (BRA),1,0,0,1
24,India (IND),1,0,0,1
26,Yugoslavia (YUG),0,3,0,3
27,Chile (CHI),0,2,2,4
28,Belgium (BEL),0,2,0,2
29,Argentina (ARG),0,1,1,2
29,South Korea (KOR),0,1,1,2
31,Iceland (ISL),0,1,0,1
31,Pakistan (PAK),0,1,0,1
33,South Africa (RSA),0,0,4,4
34,Austria (AUT),0,0,2,2
35,Bahamas (BAH),0,0,1,1
35,Greece (GRE),0,0,1,1
35,Switzerland (SUI),0,0,1,1
35,Uruguay (URU),0,0,1,1
