Rank,Team,Gold,Silver,Bronze,Total
1,Great Britain (GBR),56,51,39,146
2,United States (USA),23,12,12,47
3,Sweden (SWE),8,6,11,25
4,France (FRA),5,5,9,19
5,Germany (GER),3,5,5,13
6,Hungary (HUN),3,4,2,9
7,Canada (CAN),3,3,10,16
8,Norway (NOR),2,3,3,8
9,Italy (ITA),2,2,0,4
10,Belgium (BEL),1,5,2,8
11,Australasia (ANZ),1,2,2,5
12,Russian Empire (RU1),1,2,0,3
13,Finland (FIN),1,1,3,5
14,South Africa (RSA),1,1,0,2
15,Greece (GRE),0,3,1,4
16,Denmark (DEN),0,2,3,5
17,Bohemia (BOH),0,0,2,2
17,Netherlands (NED),0,0,2,2
19,Austria (AUT),0,0,1,1
