Rank,Team,Gold,Silver,Bronze,Total
1,United States (USA),26,19,19,64
2,Sweden (SWE),24,24,17,65
3,Great Britain (GBR),10,15,16,41
4,Finland (FIN),9,8,9,26
5,France (FRA),7,5,3,15
6,Germany (GER),6,13,7,26
7,Italy (ITA),5,1,2,8
8,South Africa (RSA),4,2,0,6
9,Norway (NOR),4,1,5,10
10,Canada (CAN),3,2,3,8
10,Hungary (HUN),3,2,3,8
12,Australasia (ANZ),2,2,3,7
13,Belgium (BEL),2,1,3,6
14,Denmark (DEN),1,6,5,12
15,Greece (GRE),1,0,1,2
16,Switzerland (SUI),1,0,0,1
17,Russian Empire (RU1),0,2,3,5
18,Austria (AUT),0,2,2,4
19,Netherlands (NED),0,0,3,3
